speaker,gender,vowel,f0,f1,f2,f3,sr,log_f1_sr,log_f2_f1,log_f3_f2,quality
wikipedia,m,22,119.320546723702,327.568292976273,1512.65611907414,2654.53948775108,149.891819935985,0.33952392483018,0.664438351028894,0.244248981547235,ok
wikipedia,m,23,140.751663654038,397.758195168973,845.727976264459,2450.84542035396,158.376485023594,0.399928436260723,0.327611560724914,0.462085223231618,ok
wikipedia,m,24,117.488666665951,538.369736481046,1198.14161804959,2574.03757348885,149.12078442397,0.557542459246089,0.347427515072423,0.332106728190391,ok
wikipedia,m,25,132.330877928841,627.974963640225,1474.68562538137,2599.26616375663,155.152907707691,0.607182410381245,0.370757117494434,0.246151306400742,ok
wikipedia,m,26,127.885045751806,411.340719531678,1236.9656065629,2375.28199736146,153.395555163747,0.428388927866543,0.47815592096356,0.283357552796177,ok
wikipedia,m,27,125.251456995057,699.853048991232,1825.72029662941,2538.69299466228,152.335264156383,0.662206409004779,0.416427384664003,0.143175940952051,ok
wikipedia,m,28,156.427034799342,677.747905365393,1244.68996926093,2597.06838784105,164.050210560042,0.616091391888827,0.263993005626914,0.319422196269884,ok
dan_lenard,m,1,149.245524757482,309.5878554691,2416.89193454757,2889.65641275577,161.500285196711,0.282610622217652,0.892473316603762,0.077588974726931,ok
dan_lenard,m,2,130.706070044971,579.177118899467,2110.45435054276,2627.85463905037,154.515282449824,0.573839956086803,0.561564566541289,0.09522537562493,ok
dan_lenard,m,3,113.968511471298,586.299313279965,1669.15040978835,2336.04155842941,147.616355841408,0.598984905672993,0.454376087901437,0.14598509124786,ok
dan_lenard,m,4,126.710660458779,793.13813539641,1377.74915575799,2379.17444216635,152.924559912199,0.714871592623631,0.239821321597041,0.237256132300823,ok
dan_lenard,m,5,119.92683547471,697.478541734268,1099.61774763898,2561.68423450364,150.145266744896,0.667019205038179,0.197710889794593,0.36728385481975,ok
dan_lenard,m,6,140.0316893724,524.3917893555,680.7742740713,2692.966870824,158.105980288587,0.520707585882883,0.11334725261502,0.597227874968704,ok
dan_lenard,m,8,142.9666758724,323.9600013898,753.4732585646,2205.5938353098,159.202956149689,0.308540264511877,0.366576451270027,0.466457695808288,ok
