speaker,gender,vowel,f0,f1,f2,f3,quality
uni_victoria,m,2,120.641802931768,437.194386126863,2345.33429989952,3095.9573018059,ok
uni_victoria,m,3,123.395510401875,779.229869888513,1809.97348121453,2523.72134681229,ok
uni_victoria,m,4,116.298346034132,963.46373304667,1507.25304198887,2600.93672840717,ok
uni_victoria,m,5,113.183033277263,755.592111625811,1249.70023426073,2591.97287005867,ok
uni_victoria,m,6,110.3699409721,611.911955782873,855.420660460494,2489.3956002255,ok
uni_victoria,m,7,113.8329545616,427.849121609198,781.752540621997,2670.763665707,ok
uni_victoria,m,8,123.1787900179,280,600,2441.87467275945,na oko
uni_victoria,m,9,132.383254594994,262.229696105692,1747.9952374668,2051.47207566647,ok
uni_victoria,m,10,125.118289368517,353.268930971327,1480.19120758325,2388.33556968372,ok
uni_victoria,m,11,114.332795930599,450.722283839933,1405.87480044109,2382.32262874829,ok
uni_victoria,m,12,115.641640978566,581.790581671451,1510.44388578987,2508.03685169371,ok
uni_victoria,m,13,104.613452353118,580.556601703042,767.48045978645,2619.47610848923,ok
uni_victoria,m,14,113.238586395136,639.513677953588,1301.96057231305,2449.45724598123,ok
uni_victoria,m,16,138.228987646548,344.013809981176,1676.09751992671,2628.92109635053,ok
uni_victoria,m,17,123.643627630812,343.335753607219,1896.47794115832,2579.14262359748,ok
uni_victoria,m,18,127.950636662452,279.823581302178,1784.04430081046,2125.8977466599,ok
uni_victoria,m,19,109.657246145527,389.120795915212,2016.38594788691,2635.90145369142,ok
uni_victoria,m,20,115.555305370015,277.023188635019,1761.63765730174,2086.67632166726,ok
uni_victoria,m,21,118.383604973987,364.006051080694,762.385528469169,2149.76834755802,ok
uni_victoria,m,22,121.943734529601,408.038243016338,2132.73552135302,2625.17425341657,ok
uni_victoria,m,23,113.583585344169,384.194225898082,949.261824187701,1965.78750521213,ok
uni_victoria,m,24,110.427045952781,561.895649935493,1190.42676040793,2364.48677011399,ok
uni_victoria,m,25,112.895795160179,636.412654500368,1554.44026751102,2897.52831016764,ok
uni_victoria,m,26,116.14660125453,496.845932889604,757.282570228753,2074.86160668775,ok
uni_victoria,m,27,110.230639877479,883.056204133821,1551.61344465631,2689.11617718613,ok
uni_victoria,m,28,106.785329924622,785.372140000824,1224.9199387845,2683.7375081367,ok
john_wells,m,1,138.147993750359,263.147254642199,2076.25299745254,3391.03068739447,ok
john_wells,m,2,121.844734967584,404.067810181147,1995.92727749676,2595.2152243239,ok
john_wells,m,3,129.785569921341,633.497344404071,1704.56015117716,2443.8145405983,ok
john_wells,m,4,128.288101458523,996.404790822926,1448.94181211976,2373.21292306912,ok
john_wells,m,5,129.736954692676,530.894723041031,940.410493474232,2639.12040548528,ok
john_wells,m,6,116.7756915272,410.2643047712,800.1451167941,2527.4098426262,ok
john_wells,m,7,131.3642158903,382.8309046604,586.0185793911,2405.0126873854,ok
john_wells,m,8,121.9545012657,218.89003209957,450,2112.9944938872,ok
john_wells,m,9,128.452266708257,216.192310482833,1799.43188974798,2169.80057893075,ok
john_wells,m,10,125.461377185207,356.133868846027,1495.3738090068,1866.91481132528,ok
john_wells,m,11,115.9260499445,631.235676427646,1396.74086293689,1795.09536434741,ok
john_wells,m,12,109.154283863086,653.830689176399,1278.97616130611,1733.59212777392,ok
john_wells,m,13,124.864019132795,541.815626425867,811.607320315502,2571.45191789459,ok
john_wells,m,14,124.484064415434,569.916614843087,1029.77826615932,2659.10006433504,ok
