phonetician,gender,vowel,f0,f1,f2,f3
John Wells,m,13,124.864019132795,541.815626425867,811.607320315502,2500
John Wells,m,14,124.484064415434,600,1029.77826615932,2659.10006433504
John Wells,m,15,123.891020955816,316.592764881418,980,2180
John Wells,m,16,134.174078847561,266.661387295016,1090,2020
John Wells,m,17,124.302744323614,304.92834044638,1730.86596649511,2220
John Wells,m,18,125.332610481645,251.743046018127,1498.7675723289,1996.67868128608
John Wells,m,19,136.666163519221,375.426871832486,1980,2444.47661009145
John Wells,m,20,125.883981308193,284.076203575948,1526.96493830542,1988.60134160038
John Wells,m,21,131.571315731205,384.381509964296,804.393403622101,2220
John Wells,m,22,119.77886918511,356.263337229597,1300,2350
John Wells,m,23,119.461628387667,336.655949269425,1279.19237320233,1960
John Wells,m,24,116.560594044743,473.061120533386,1240,2490
John Wells,m,25,128.888987491613,620,1100,2580
John Wells,m,26,116.93121414129,610,1280,1922.44212420704
John Wells,m,27,127.438214412897,620,1670,2400
John Wells,m,28,121.48729938658,497.929125708285,1070,2510
Jonathan Dowse,m,1,101.73057455426,217.505554183829,2363.5458382846,3200
Jonathan Dowse,m,2,108.770760442001,528.189135046981,2230,2900
Jonathan Dowse,m,3,100.92969557621,600,1870,2760
Jonathan Dowse,m,4,103.183088009807,860,1480,3100
Jonathan Dowse,m,5,100.553567673813,602.088161782668,900,2800
Jonathan Dowse,m,6,102.8977403969,521.3890787485,824.7858731191,2620
Jonathan Dowse,m,7,108.0631138884,408.373039798689,611.559173263022,2600
Jonathan Dowse,m,8,104.0627354046,250,500,2300
Jonathan Dowse,m,9,102.686337600008,217.123493076967,2200,2820
Jonathan Dowse,m,10,105.977700227114,336.930884112773,2040,2550
Jonathan Dowse,m,11,97.4163457120199,530,1850,2530
Jonathan Dowse,m,12,103.40369973081,684.80056574487,1300,2390
Jonathan Dowse,m,13,103.047929388439,537.978318098662,660.262808868618,2623.89945311459
Jonathan Dowse,m,14,102.07771343678,559.93498812246,1051.8526411465,2800
Jonathan Dowse,m,15,105.852230983032,513.2221742487,920,2830
Jonathan Dowse,m,16,105.398051734821,291.574803416646,1120,2400
Jonathan Dowse,m,17,100.488596907052,304.574724368927,1740,2200
Jonathan Dowse,m,18,105.677831295064,276.051537846171,1600,2080
Jonathan Dowse,m,19,108.429167306275,370.962078215071,2006.69521788721,2770
Jonathan Dowse,m,20,105.561648606383,285.141384679742,1870,2200
Jonathan Dowse,m,21,106.156164775681,431.395935385677,850,2280
Jonathan Dowse,m,22,105.930838228821,403.511250001993,1640,2280
Jonathan Dowse,m,23,107.505959239094,432.501848988441,980,2190
Jonathan Dowse,m,24,103.998009226666,566.217874795034,1370,2490
Jonathan Dowse,m,25,102.675187713965,600,1300,2550
